base_freq;real_freq;correction
100;189;0.529100529100529
200;361;0.554016620498615
300;515;0.58252427184466
400;657;0.60882800608828
500;787;0.635324015247776
600;907;0.661521499448732
700;1020;0.686274509803922
800;1150;0.695652173913043
900;1250;0.72
1000;1340;0.746268656716418
1100;1420;0.774647887323944
1200;1510;0.794701986754967
1300;1590;0.817610062893082
1400;1660;0.843373493975904
1500;1730;0.867052023121387
1600;1790;0.893854748603352
1700;1850;0.918918918918919
1800;1920;0.9375
1900;2020;0.940594059405941
2000;2090;0.956937799043062
2100;2140;0.981308411214953
2200;2190;1.00456621004566
2300;2240;1.02678571428571
2400;2280;1.05263157894737
2500;2340;1.06837606837607
2600;2370;1.09704641350211
2700;2420;1.11570247933884
2800;2450;1.14285714285714
2900;2490;1.16465863453815
3000;2530;1.18577075098814
3100;2560;1.2109375
3200;2590;1.23552123552124
3300;2630;1.25475285171103
3400;2650;1.28301886792453
3500;2700;1.2962962962963
3600;2720;1.32352941176471
3700;2750;1.34545454545455
3800;2780;1.36690647482014
3900;2790;1.39784946236559
4000;2820;1.41843971631206
4100;2850;1.43859649122807
4200;2870;1.46341463414634
4300;2900;1.48275862068966
4400;2920;1.50684931506849
4500;3050;1.47540983606557
4600;3070;1.49837133550489
4700;3080;1.52597402597403
4800;3100;1.54838709677419
4900;3130;1.56549520766773
5000;3160;1.58227848101266
