"base_freq";"real_freq";"correction"
2000;2090;0.9569377990430622
2100;2140;0.9813084112149533
2200;2190;1.004566210045662
2300;2240;1.026785714285714
2400;2280;1.052631578947368
2500;2340;1.068376068376068
2600;2370;1.09704641350211
2700;2420;1.115702479338843
2800;2450;1.142857142857143
2900;2490;1.164658634538153
3000;2530;1.185770750988142
3100;2560;1.2109375
3200;2590;1.235521235521235
3300;2630;1.254752851711027
3400;2650;1.283018867924528
3500;2700;1.296296296296296
3600;2720;1.323529411764706
3700;2750;1.345454545454545
3800;2780;1.366906474820144
3900;2790;1.397849462365591
4000;2820;1.418439716312057
4100;2850;1.43859649122807
4200;2870;1.463414634146341
4300;2900;1.482758620689655
4400;2920;1.506849315068493
4500;3050;1.475409836065574
4600;3070;1.498371335504886
4700;3080;1.525974025974026
4800;3100;1.548387096774194
4900;3130;1.565495207667732
5000;3160;1.582278481012658
