"base_freq";"real_freq";"correction"
100;189;0.5291005291005291
200;361;0.554016620498615
300;515;0.5825242718446602
400;657;0.60882800608828
500;787;0.6353240152477764
600;907;0.6615214994487321
700;1020;0.6862745098039216
800;1150;0.6956521739130435
900;1250;0.72
1000;1340;0.746268656716418
1100;1420;0.7746478873239436
1200;1510;0.7947019867549668
1300;1590;0.8176100628930818
1400;1660;0.8433734939759037
1500;1730;0.8670520231213873
1600;1790;0.8938547486033519
1700;1850;0.918918918918919
1800;1920;0.9375
1900;2020;0.9405940594059405
2000;2090;0.9569377990430622
